Decil;Situación profesional del empleo principal;Límite inferior y media;Periodo;Total
Decil 1;Total;Límite inferior;2024;""
Decil 1;Total;Límite inferior;2023;..
Decil 1;Total;Límite inferior;2022;..
Decil 1;Total;Límite inferior;2021;..
Decil 1;Total;Límite inferior;2020;..
Decil 1;Total;Límite inferior;2019;..
Decil 1;Total;Límite inferior;2018;..
Decil 1;Total;Límite inferior;2017;..
Decil 1;Total;Límite inferior;2016;..
Decil 1;Total;Límite inferior;2015;..
Decil 1;Total;Límite inferior;2014;..
Decil 1;Total;Límite inferior;2013;..
Decil 1;Total;Límite inferior;2012;..
Decil 1;Total;Límite inferior;2011;..
Decil 1;Total;Límite inferior;2010;..
Decil 1;Total;Límite inferior;2009;..
Decil 1;Total;Media;2024;""
Decil 1;Total;Media;2023;644,99
Decil 1;Total;Media;2022;619,71
Decil 1;Total;Media;2021;566,26
Decil 1;Total;Media;2020;521,33
Decil 1;Total;Media;2019;532,31
Decil 1;Total;Media;2018;479,9
Decil 1;Total;Media;2017;464,34
Decil 1;Total;Media;2016;462,72
Decil 1;Total;Media;2015;420,05
Decil 1;Total;Media;2014;411,17
Decil 1;Total;Media;2013;414,49
Decil 1;Total;Media;2012;425,57
Decil 1;Total;Media;2011;464,5
Decil 1;Total;Media;2010;482,43
Decil 1;Total;Media;2009;495,94
Decil 2;Total;Límite inferior;2024;""
Decil 2;Total;Límite inferior;2023;1.000
Decil 2;Total;Límite inferior;2022;951,1
Decil 2;Total;Límite inferior;2021;852,7
Decil 2;Total;Límite inferior;2020;820,19
Decil 2;Total;Límite inferior;2019;814,42
Decil 2;Total;Límite inferior;2018;748,7
Decil 2;Total;Límite inferior;2017;717,21
Decil 2;Total;Límite inferior;2016;710,09
Decil 2;Total;Límite inferior;2015;680
Decil 2;Total;Límite inferior;2014;655,07
Decil 2;Total;Límite inferior;2013;638,09
Decil 2;Total;Límite inferior;2012;658,25
Decil 2;Total;Límite inferior;2011;693,07
Decil 2;Total;Límite inferior;2010;722,47
Decil 2;Total;Límite inferior;2009;714,5
Decil 2;Total;Media;2024;""
Decil 2;Total;Media;2023;1.209,64
Decil 2;Total;Media;2022;1.132,22
Decil 2;Total;Media;2021;1.033,87
Decil 2;Total;Media;2020;1.006,63
Decil 2;Total;Media;2019;994,51
Decil 2;Total;Media;2018;904,87
Decil 2;Total;Media;2017;863,9
Decil 2;Total;Media;2016;856,88
Decil 2;Total;Media;2015;828,96
Decil 2;Total;Media;2014;819,61
Decil 2;Total;Media;2013;812,18
Decil 2;Total;Media;2012;840,19
Decil 2;Total;Media;2011;863,82
Decil 2;Total;Media;2010;893,11
Decil 2;Total;Media;2009;875,93
Decil 3;Total;Límite inferior;2024;""
Decil 3;Total;Límite inferior;2023;1.335,44
Decil 3;Total;Límite inferior;2022;1.247,11
Decil 3;Total;Límite inferior;2021;1.156,4
Decil 3;Total;Límite inferior;2020;1.134,15
Decil 3;Total;Límite inferior;2019;1.116,78
Decil 3;Total;Límite inferior;2018;1.046,85
Decil 3;Total;Límite inferior;2017;1.001,82
Decil 3;Total;Límite inferior;2016;1.002,81
Decil 3;Total;Límite inferior;2015;979,52
Decil 3;Total;Límite inferior;2014;972,84
Decil 3;Total;Límite inferior;2013;983,27
Decil 3;Total;Límite inferior;2012;999,11
Decil 3;Total;Límite inferior;2011;1.018,14
Decil 3;Total;Límite inferior;2010;1.043,14
Decil 3;Total;Límite inferior;2009;1.018,4
Decil 3;Total;Media;2024;""
Decil 3;Total;Media;2023;1.434,13
Decil 3;Total;Media;2022;1.338,81
Decil 3;Total;Media;2021;1.256,84
Decil 3;Total;Media;2020;1.236,99
Decil 3;Total;Media;2019;1.222,45
Decil 3;Total;Media;2018;1.156,51
Decil 3;Total;Media;2017;1.121,9
Decil 3;Total;Media;2016;1.118,31
Decil 3;Total;Media;2015;1.102,14
Decil 3;Total;Media;2014;1.100,85
Decil 3;Total;Media;2013;1.103,32
Decil 3;Total;Media;2012;1.121,65
Decil 3;Total;Media;2011;1.128,86
Decil 3;Total;Media;2010;1.141,96
Decil 3;Total;Media;2009;1.120,03
Decil 4;Total;Límite inferior;2024;""
Decil 4;Total;Límite inferior;2023;1.534,67
Decil 4;Total;Límite inferior;2022;1.434,55
Decil 4;Total;Límite inferior;2021;1.353,14
Decil 4;Total;Límite inferior;2020;1.336,62
Decil 4;Total;Límite inferior;2019;1.324,21
Decil 4;Total;Límite inferior;2018;1.260,87
Decil 4;Total;Límite inferior;2017;1.230,89
Decil 4;Total;Límite inferior;2016;1.229,29
Decil 4;Total;Límite inferior;2015;1.215,71
Decil 4;Total;Límite inferior;2014;1.221,1
Decil 4;Total;Límite inferior;2013;1.217,41
Decil 4;Total;Límite inferior;2012;1.227,52
Decil 4;Total;Límite inferior;2011;1.225,27
Decil 4;Total;Límite inferior;2010;1.235,41
Decil 4;Total;Límite inferior;2009;1.210,48
Decil 4;Total;Media;2024;""
Decil 4;Total;Media;2023;1.631,57
Decil 4;Total;Media;2022;1.523,08
Decil 4;Total;Media;2021;1.454,95
Decil 4;Total;Media;2020;1.423,4
Decil 4;Total;Media;2019;1.418,13
Decil 4;Total;Media;2018;1.357,44
Decil 4;Total;Media;2017;1.323
Decil 4;Total;Media;2016;1.325,36
Decil 4;Total;Media;2015;1.310,96
Decil 4;Total;Media;2014;1.315,48
Decil 4;Total;Media;2013;1.318,7
Decil 4;Total;Media;2012;1.322,12
Decil 4;Total;Media;2011;1.309,99
Decil 4;Total;Media;2010;1.316,31
Decil 4;Total;Media;2009;1.290,22
Decil 5;Total;Límite inferior;2024;""
Decil 5;Total;Límite inferior;2023;1.731,81
Decil 5;Total;Límite inferior;2022;1.607,18
Decil 5;Total;Límite inferior;2021;1.551,86
Decil 5;Total;Límite inferior;2020;1.511,25
Decil 5;Total;Límite inferior;2019;1.507,43
Decil 5;Total;Límite inferior;2018;1.453,57
Decil 5;Total;Límite inferior;2017;1.409,89
Decil 5;Total;Límite inferior;2016;1.412,65
Decil 5;Total;Límite inferior;2015;1.402,85
Decil 5;Total;Límite inferior;2014;1.405,34
Decil 5;Total;Límite inferior;2013;1.411,75
Decil 5;Total;Límite inferior;2012;1.409,71
Decil 5;Total;Límite inferior;2011;1.394,64
Decil 5;Total;Límite inferior;2010;1.393,97
Decil 5;Total;Límite inferior;2009;1.363,32
Decil 5;Total;Media;2024;""
Decil 5;Total;Media;2023;1.833,97
Decil 5;Total;Media;2022;1.708,65
Decil 5;Total;Media;2021;1.652,67
Decil 5;Total;Media;2020;1.606,91
Decil 5;Total;Media;2019;1.595,3
Decil 5;Total;Media;2018;1.546,73
Decil 5;Total;Media;2017;1.497,73
Decil 5;Total;Media;2016;1.498,22
Decil 5;Total;Media;2015;1.497,67
Decil 5;Total;Media;2014;1.502,97
Decil 5;Total;Media;2013;1.503,02
Decil 5;Total;Media;2012;1.492,68
Decil 5;Total;Media;2011;1.484,84
Decil 5;Total;Media;2010;1.478,49
Decil 5;Total;Media;2009;1.443,59
Decil 6;Total;Límite inferior;2024;""
Decil 6;Total;Límite inferior;2023;1.935,54
Decil 6;Total;Límite inferior;2022;1.802,77
Decil 6;Total;Límite inferior;2021;1.752,65
Decil 6;Total;Límite inferior;2020;1.706,41
Decil 6;Total;Límite inferior;2019;1.684,26
Decil 6;Total;Límite inferior;2018;1.642,25
Decil 6;Total;Límite inferior;2017;1.590,25
Decil 6;Total;Límite inferior;2016;1.594,53
Decil 6;Total;Límite inferior;2015;1.596,79
Decil 6;Total;Límite inferior;2014;1.602,54
Decil 6;Total;Límite inferior;2013;1.600,22
Decil 6;Total;Límite inferior;2012;1.579,02
Decil 6;Total;Límite inferior;2011;1.577,07
Decil 6;Total;Límite inferior;2010;1.566,75
Decil 6;Total;Límite inferior;2009;1.529,99
Decil 6;Total;Media;2024;""
Decil 6;Total;Media;2023;2.059,54
Decil 6;Total;Media;2022;1.913,09
Decil 6;Total;Media;2021;1.865,71
Decil 6;Total;Media;2020;1.816,81
Decil 6;Total;Media;2019;1.793,56
Decil 6;Total;Media;2018;1.752,61
Decil 6;Total;Media;2017;1.698,01
Decil 6;Total;Media;2016;1.703,87
Decil 6;Total;Media;2015;1.703,73
Decil 6;Total;Media;2014;1.715,14
Decil 6;Total;Media;2013;1.703,65
Decil 6;Total;Media;2012;1.685,43
Decil 6;Total;Media;2011;1.678,8
Decil 6;Total;Media;2010;1.667,4
Decil 6;Total;Media;2009;1.627,28
Decil 7;Total;Límite inferior;2024;""
Decil 7;Total;Límite inferior;2023;2.191,99
Decil 7;Total;Límite inferior;2022;2.035,18
Decil 7;Total;Límite inferior;2021;1.996,55
Decil 7;Total;Límite inferior;2020;1.941,06
Decil 7;Total;Límite inferior;2019;1.912,85
Decil 7;Total;Límite inferior;2018;1.871,27
Decil 7;Total;Límite inferior;2017;1.817,91
Decil 7;Total;Límite inferior;2016;1.824,1
Decil 7;Total;Límite inferior;2015;1.814,04
Decil 7;Total;Límite inferior;2014;1.837,47
Decil 7;Total;Límite inferior;2013;1.819,64
Decil 7;Total;Límite inferior;2012;1.797,6
Decil 7;Total;Límite inferior;2011;1.788,04
Decil 7;Total;Límite inferior;2010;1.777,34
Decil 7;Total;Límite inferior;2009;1.738,29
Decil 7;Total;Media;2024;""
Decil 7;Total;Media;2023;2.356,69
Decil 7;Total;Media;2022;2.181,84
Decil 7;Total;Media;2021;2.147,95
Decil 7;Total;Media;2020;2.107,38
Decil 7;Total;Media;2019;2.058,48
Decil 7;Total;Media;2018;2.017,4
Decil 7;Total;Media;2017;1.970,29
Decil 7;Total;Media;2016;1.969,37
Decil 7;Total;Media;2015;1.960,42
Decil 7;Total;Media;2014;1.996,68
Decil 7;Total;Media;2013;1.979,18
Decil 7;Total;Media;2012;1.943,47
Decil 7;Total;Media;2011;1.926,53
Decil 7;Total;Media;2010;1.916,64
Decil 7;Total;Media;2009;1.869,76
Decil 8;Total;Límite inferior;2024;""
Decil 8;Total;Límite inferior;2023;2.548,24
Decil 8;Total;Límite inferior;2022;2.358
Decil 8;Total;Límite inferior;2021;2.322,06
Decil 8;Total;Límite inferior;2020;2.295,16
Decil 8;Total;Límite inferior;2019;2.221,15
Decil 8;Total;Límite inferior;2018;2.187,2
Decil 8;Total;Límite inferior;2017;2.136,29
Decil 8;Total;Límite inferior;2016;2.137,46
Decil 8;Total;Límite inferior;2015;2.136,72
Decil 8;Total;Límite inferior;2014;2.173,49
Decil 8;Total;Límite inferior;2013;2.159,36
Decil 8;Total;Límite inferior;2012;2.101,28
Decil 8;Total;Límite inferior;2011;2.084,31
Decil 8;Total;Límite inferior;2010;2.082,58
Decil 8;Total;Límite inferior;2009;2.019,01
Decil 8;Total;Media;2024;""
Decil 8;Total;Media;2023;2.781,79
Decil 8;Total;Media;2022;2.592,84
Decil 8;Total;Media;2021;2.558,2
Decil 8;Total;Media;2020;2.541,41
Decil 8;Total;Media;2019;2.446,63
Decil 8;Total;Media;2018;2.422,04
Decil 8;Total;Media;2017;2.363,15
Decil 8;Total;Media;2016;2.355
Decil 8;Total;Media;2015;2.363,55
Decil 8;Total;Media;2014;2.386,34
Decil 8;Total;Media;2013;2.364,47
Decil 8;Total;Media;2012;2.304,23
Decil 8;Total;Media;2011;2.291,51
Decil 8;Total;Media;2010;2.291,37
Decil 8;Total;Media;2009;2.240,02
Decil 9;Total;Límite inferior;2024;""
Decil 9;Total;Límite inferior;2023;3.036,48
Decil 9;Total;Límite inferior;2022;2.841,6
Decil 9;Total;Límite inferior;2021;2.804,79
Decil 9;Total;Límite inferior;2020;2.805,95
Decil 9;Total;Límite inferior;2019;2.705,38
Decil 9;Total;Límite inferior;2018;2.674,73
Decil 9;Total;Límite inferior;2017;2.616,29
Decil 9;Total;Límite inferior;2016;2.595,07
Decil 9;Total;Límite inferior;2015;2.607,24
Decil 9;Total;Límite inferior;2014;2.625
Decil 9;Total;Límite inferior;2013;2.582,43
Decil 9;Total;Límite inferior;2012;2.531,73
Decil 9;Total;Límite inferior;2011;2.520,86
Decil 9;Total;Límite inferior;2010;2.523,19
Decil 9;Total;Límite inferior;2009;2.489,65
Decil 9;Total;Media;2024;""
Decil 9;Total;Media;2023;3.390,61
Decil 9;Total;Media;2022;3.172,78
Decil 9;Total;Media;2021;3.142,94
Decil 9;Total;Media;2020;3.160,32
Decil 9;Total;Media;2019;3.035,46
Decil 9;Total;Media;2018;3.006,17
Decil 9;Total;Media;2017;2.955,46
Decil 9;Total;Media;2016;2.921,88
Decil 9;Total;Media;2015;2.964,23
Decil 9;Total;Media;2014;2.946,62
Decil 9;Total;Media;2013;2.915,77
Decil 9;Total;Media;2012;2.851,55
Decil 9;Total;Media;2011;2.847,54
Decil 9;Total;Media;2010;2.842,26
Decil 9;Total;Media;2009;2.818,47
Decil 10;Total;Límite inferior;2024;""
Decil 10;Total;Límite inferior;2023;3.858,22
Decil 10;Total;Límite inferior;2022;3.612,96
Decil 10;Total;Límite inferior;2021;3.586,8
Decil 10;Total;Límite inferior;2020;3.585,79
Decil 10;Total;Límite inferior;2019;3.460,26
Decil 10;Total;Límite inferior;2018;3.441,94
Decil 10;Total;Límite inferior;2017;3.367,6
Decil 10;Total;Límite inferior;2016;3.316,91
Decil 10;Total;Límite inferior;2015;3.424,75
Decil 10;Total;Límite inferior;2014;3.353,75
Decil 10;Total;Límite inferior;2013;3.350,9
Decil 10;Total;Límite inferior;2012;3.262,06
Decil 10;Total;Límite inferior;2011;3.272,08
Decil 10;Total;Límite inferior;2010;3.238,46
Decil 10;Total;Límite inferior;2009;3.230,53
Decil 10;Total;Media;2024;""
Decil 10;Total;Media;2023;5.386,69
Decil 10;Total;Media;2022;5.001,97
Decil 10;Total;Media;2021;5.083,75
Decil 10;Total;Media;2020;4.964,01
Decil 10;Total;Media;2019;4.725,47
Decil 10;Total;Media;2018;4.799,61
Decil 10;Total;Media;2017;4.631,17
Decil 10;Total;Media;2016;4.568,68
Decil 10;Total;Media;2015;4.784,5
Decil 10;Total;Media;2014;4.616,94
Decil 10;Total;Media;2013;4.574,92
Decil 10;Total;Media;2012;4.515,01
Decil 10;Total;Media;2011;4.418,37
Decil 10;Total;Media;2010;4.356,53
Decil 10;Total;Media;2009;4.370,12
