"indicator_code","indicator","path","rows"
"NY.GDP.PCAP.CD","GDP per capita (current US$)","metadata/extremes/wb_extremes_cn_ve_gdp_per_capita_current_usd.csv","72"
"SL.UEM.TOTL.ZS","Unemployment, total (% of total labor force)","metadata/extremes/wb_extremes_cn_ve_unemployment_rate.csv","72"
"FP.CPI.TOTL.ZG","Inflation, consumer prices (annual %)","metadata/extremes/wb_extremes_cn_ve_inflation_consumer_prices.csv","72"
"FR.INR.LEND","Lending interest rate (%)","metadata/extremes/wb_extremes_cn_ve_lending_interest_rate.csv","72"
"SP.POP.TOTL","Population, total","metadata/extremes/wb_extremes_cn_ve_population_total.csv","72"
"EN.URB.LCTY.UR.ZS","Urban population (% of total population)","metadata/extremes/wb_extremes_cn_ve_urban_population_share.csv","72"
"EN.POP.DNST","Population density (people per sq. km of land area)","metadata/extremes/wb_extremes_cn_ve_population_density.csv","72"
"SM.POP.NETM","Net migration","metadata/extremes/wb_extremes_cn_ve_net_migration.csv","72"
"ST.INT.ARVL","International tourism, number of arrivals","metadata/extremes/wb_extremes_cn_ve_international_tourism_arrivals.csv","72"
"BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)","metadata/extremes/wb_extremes_cn_ve_fdi_net_inflows_pct_gdp.csv","72"
