country_code,country,year,indicator_code,indicator,value
VEN,Venezuela,1990,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1991,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1992,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1993,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1994,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1995,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1996,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1997,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1998,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,1999,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2000,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2001,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2002,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2003,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2004,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2005,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2006,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2007,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2008,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2009,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","27,080941446613"
VEN,Venezuela,2010,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","28,1874647092039"
VEN,Venezuela,2011,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","26,0902123160959"
VEN,Venezuela,2012,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","21,0689956331876"
VEN,Venezuela,2013,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","40,6394275161589"
VEN,Venezuela,2014,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","62,1686499794829"
VEN,Venezuela,2015,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","121,738085297503"
VEN,Venezuela,2016,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)","254,948534781816"
VEN,Venezuela,2017,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2018,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2019,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2020,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2021,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2022,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2023,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2024,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
VEN,Venezuela,2025,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",
