country_code,country,year,gdp_per_capita_current_usd,unemployment_rate,inflation_consumer_prices,lending_interest_rate,population_total,urban_population_share,population_density,working_age_share,net_migration,tourism_arrivals,fdi_net_inflows_pct_gdp
CUB,Cuba,2020,"9605,27914559614","2,233",,,11176354,"24,8370391420522","107,672003853565","68,5249769289699",-11976,1086000,
CUB,Cuba,2021,,"2,11",,,11122168,"24,9895306793951","107,149980732177","68,4894721744236",-11976,,
CUB,Cuba,2018,"8911,46205998726","1,7",,,11227118,"24,7086612643345","108,16105973025","68,8443538601961",-23779,4712000,
CUB,Cuba,2019,"9232,26115935183","1,705",,,11202846,"24,7664155379386","107,927225433526","68,6787371406008",-23955,4276000,
CUB,Cuba,2024,,"1,755",,,10979783,"25,4052981612855",,"68,1369704665384",-22356,,
CUB,Cuba,2025,,"1,746",,,,"25,5295636692294",,,-22244,,
CUB,Cuba,2022,,"1,829",,,11059820,"25,161305907391","106,549325626204","68,4471221050614",-23149,,
CUB,Cuba,2023,,"1,73",,,11019931,"25,2838168535483","106,165038535645","68,2904942095597",-22797,,
CUB,Cuba,2012,"6470,83673392653","3,46",,,11303175,"24,5246399733958","105,984819360707","69,4125956020058",-36101,2847000,
CUB,Cuba,2013,"6828,36428245396","3,29",,,11298167,"24,4388251617784","108,40689886778","69,2751590025551",-37619,2862000,
CUB,Cuba,2010,"5272,26755824835","2,5",,,11297409,"24,7612258208756","106,138754227734","69,6395562911815",-34121,2532000,
CUB,Cuba,2011,"6104,46105236166","3,18",,,11301571,"24,6354466880397","105,757568101214","69,541831839131",-35313,2716000,
CUB,Cuba,2016,"8110,55874283616",2,,,11265612,"24,559270804372","108,2815455594","69,0352774443146",-24146,4009000,
CUB,Cuba,2017,"8610,60829605429","1,7",,,11247829,"24,6316525895509","108,360587668593","68,9697496290173",-23394,4654000,
CUB,Cuba,2014,"7146,70459051328","2,7",,,11285775,"24,4388881643739","108,496202653336","69,177554524277",-39426,3014000,
CUB,Cuba,2015,"7727,91997207998","2,4",,,11275065,"24,502758972791","108,309942363112","69,1005980497939",-24910,3540000,
ESP,Spain,2020,"27233,9426461608","15,532","-0,322753017299739",,47359424,"17,5329187686036","94,802910688937","66,2408766587242",236854,36410000,"2,92165980781023"
ESP,Spain,2021,"30799,4775937775","14,914","3,0931351197642",,47443821,"17,6178564407025","94,9382927184248","66,2783015470184",144385,,"4,42272902452136"
ESP,Spain,2018,"30602,4212881113","15,255","1,6749813686379",,46782011,"17,4565485459177","93,638281089712","66,1319737035927",337467,124456000,"4,46748509754483"
ESP,Spain,2019,"29786,5245689007","14,104","0,699518994458739",,47118501,"17,4801448089958","94,3181087826492","66,1693765330282",464783,126170000,"2,16052375036307"
ESP,Spain,2024,"35326,7683069278","11,4","2,77417826534772",,48848840,"17,2896122281415",,"65,9328112372132",111674,,"2,47896679493344"
ESP,Spain,2025,,"10,376",,,,"17,3294089983829",,,96630,,
ESP,Spain,2022,"30319,4987196616","13,033","8,39057634118627",,47786102,"17,5713894614959","95,626963633201","66,2160904145149",299779,,"4,65609043363165"
ESP,Spain,2023,"33493,2225409111","12,179","3,53236133492433",,48352528,"17,4255308885204","96,7636173412149","66,0876417150889",119099,,"2,89981565316893"
ESP,Spain,2012,"28456,4438151477","24,789","2,44612782366809",,46773055,"16,1543313023115","93,5068371284061","67,4834730652077",-153486,98128000,"1,44631700014204"
ESP,Spain,2013,"29228,846559842","26,094","1,40858109183019",,46604197,"16,4196705621099","93,169262909578","67,0770392025555",-250741,103231000,"3,4608559063245"
ESP,Spain,2010,"30658,7422282912","19,86","1,79986457728769",,46576897,"15,8258215450069","93,1519309613808","68,1859842081222",69406,93744000,"2,51885825626411"
ESP,Spain,2011,"31824,6219134777","21,39","3,1961018883379",,46742697,"15,9626521615129","93,5078358806114","67,8223406857849",60761,99187000,"1,73938048405349"
ESP,Spain,2016,"26755,6061149398","19,635","-0,202598000426452",,46458139,"17,1196926925798","92,9973717081295","66,3143685616246",106474,115561000,"3,61722479660389"
ESP,Spain,2017,"28381,3425596906","17,224","1,95607633363963",,46571232,"17,3038932788478","93,2268622784207","66,1865982307919",201135,121717000,"2,54039212306223"
ESP,Spain,2014,"29707,765509467","24,441","-0,151114837527235",,46460733,"16,6818613455829","92,8824553687451","66,6930927877804",-97870,107144000,"2,31642230011085"
ESP,Spain,2015,"25982,4416197775","22,057","-0,500365709903242",,46422303,"16,9118214106005","92,907597351004","66,4614550787613",-1979,109834000,"1,97131692755332"
SGP,Singapore,2020,"61410,0792630788","4,1","-0,172111865925382","5,25",5685807,100,"7918,95125348189","76,2405295018345",-145556,2742000,"22,841082837391"
SGP,Singapore,2021,"80056,1288247844","4,64","2,31610315765146","5,25",5453566,100,"7595,49582172702","75,5729505669556",-44030,,"33,3045808694369"
SGP,Singapore,2018,"66881,6067035265","3,613","0,438784215129623","5,33",5638676,100,"7897,30532212885","77,1869683023096",21820,18508000,"22,1183772606386"
SGP,Singapore,2019,"65952,0378959293","3,1","0,567829988405447","5,25",5703569,100,"7965,87849162011","76,8118792234851",870,19116000,"28,3315504321637"
SGP,Singapore,2024,"90674,066632628","2,737","2,38951123595017",,6036860,100,,"74,6576230281015",20011,,"27,7575647897241"
SGP,Singapore,2025,,"2,818",,,,100,,,16892,,
SGP,Singapore,2022,"90299,0694637269","3,591","6,13095418919732",,5637022,100,"7851,00557103064","75,3038137328294",214842,,"29,414237864711"
SGP,Singapore,2023,"85412,230345235","3,444","4,83372362825798",,5917648,100,"8241,8495821727","75,1171578881273",26996,,"26,2141035698283"
SGP,Singapore,2012,"55547,5553077786","3,72","4,58084479423094","5,38",5312437,"99,2192095642734","7524,69830028329","78,8186833661434",78501,14496000,"18,7435244231802"
SGP,Singapore,2013,"56967,4257940383","3,86","2,36439793742726","5,38",5399162,"99,2901676223088","7636,72135785007","78,7282392629886",52176,15568000,"20,9344810446532"
SGP,Singapore,2010,"47236,683084953","4,12","2,82884527612958","5,38",5076732,"99,951149676603","7231,81196581197","78,5292890663685",72571,11642000,"23,0694716770802"
SGP,Singapore,2011,"53891,4570264372","3,89","5,25115624639373","5,38",5183688,"99,852016556552","7363,19318181818","78,7713862675959",89856,13171000,"17,5960314065854"
SGP,Singapore,2016,"57005,5887176547","4,08","-0,529809760375464","5,35",5607283,100,"7908,72073342736","78,0308714909358",13737,16403000,"20,3766287562495"
SGP,Singapore,2017,"61236,251270627","4,2","0,576763191179996","5,28",5612253,100,"7882,37780898876","77,6111451686482",-8880,17425000,"29,6706126230568"
SGP,Singapore,2014,"57564,8023114977","3,74","1,03316955857629","5,35",5469724,"99,6090844803138","7714,7023977433","78,546922809139",40154,15095000,"21,8184880782679"
SGP,Singapore,2015,"55645,6068614606","3,79","-0,521975611895763","5,35",5535002,100,"7806,77291960508","78,3192236422757",41852,15231500,"22,6541826890491"
